iter	Accuracy	Logloss
0	0.8179551122	0.6746272222
1	0.8241895262	0.6592767751
2	0.8216957606	0.6449305534
3	0.8354114713	0.6293041882
4	0.825436409	0.6186710412
5	0.825436409	0.6076256884
6	0.8241895262	0.5949483862
7	0.8279301746	0.5846567968
8	0.825436409	0.5727135306
9	0.8229426434	0.5636665953
10	0.8229426434	0.5564119556
11	0.8216957606	0.5476138002
12	0.8266832918	0.5405014869
13	0.8279301746	0.5332768
14	0.8266832918	0.5252790134
15	0.8266832918	0.5175089578
16	0.8279301746	0.5109253888
17	0.825436409	0.5044434552
18	0.825436409	0.4981218302
19	0.8241895262	0.4942285943
20	0.8279301746	0.4899472912
21	0.8291770574	0.4849329931
22	0.8279301746	0.4803639444
23	0.8291770574	0.4755299218
24	0.8279301746	0.4714609055
25	0.8266832918	0.4667334581
26	0.8291770574	0.4626708998
27	0.8291770574	0.4587209389
28	0.8304239401	0.4549901267
29	0.8291770574	0.4527004695
30	0.8304239401	0.4493631775
31	0.8304239401	0.4452355127
32	0.8316708229	0.4433664255
33	0.8316708229	0.4404881922
34	0.8316708229	0.4375653953
35	0.8329177057	0.4358973058
36	0.8316708229	0.4344358117
37	0.8304239401	0.4325457808
38	0.8304239401	0.4303024399
39	0.8316708229	0.4286619233
40	0.8304239401	0.4261702193
41	0.8291770574	0.4242518488
42	0.8279301746	0.4222061075
43	0.8279301746	0.4196070275
44	0.8304239401	0.4172914883
45	0.8316708229	0.4152762035
46	0.8304239401	0.4133126255
47	0.8304239401	0.4117691499
48	0.8304239401	0.4098184836
49	0.8329177057	0.4083164579
50	0.8329177057	0.4069466608
51	0.8329177057	0.4057617209
52	0.8341645885	0.4044353738
53	0.8341645885	0.4027699617
54	0.8341645885	0.4015090257
55	0.8341645885	0.3998747393
56	0.8354114713	0.399152999
57	0.8366583541	0.3976880109
58	0.8366583541	0.3957685585
59	0.8379052369	0.3943515202
60	0.8403990025	0.3920347695
61	0.8403990025	0.3901571476
62	0.8403990025	0.3884496621
63	0.8403990025	0.3866709774
64	0.8403990025	0.3849880085
65	0.8416458853	0.3835011477
66	0.8416458853	0.3819130778
67	0.8428927681	0.3815416128
68	0.8428927681	0.3799994183
69	0.8428927681	0.3783692695
70	0.8441396509	0.376871059
71	0.8441396509	0.3758571493
72	0.8453865337	0.3751229734
73	0.8441396509	0.3743588737
74	0.8466334165	0.373821582
75	0.8466334165	0.3729571091
76	0.8466334165	0.3724369323
77	0.8466334165	0.3716017076
78	0.8478802993	0.370846151
79	0.8478802993	0.3701086685
80	0.8503740648	0.3693493406
81	0.8516209476	0.3687579122
82	0.8516209476	0.3681033838
83	0.8516209476	0.3669555653
84	0.8503740648	0.3663225636
85	0.849127182	0.3653477737
86	0.849127182	0.3648757706
87	0.849127182	0.3634430083
88	0.8478802993	0.3627737636
89	0.8478802993	0.3626476211
90	0.8478802993	0.3623025697
91	0.8478802993	0.3611937423
92	0.8478802993	0.3605180554
93	0.849127182	0.359923745
94	0.849127182	0.3590352283
95	0.8503740648	0.3582015137
96	0.8503740648	0.3575513795
97	0.8503740648	0.3565278494
98	0.8503740648	0.3557701342
99	0.849127182	0.355184127
100	0.8541147132	0.3545130895
101	0.8541147132	0.3538510362
102	0.8541147132	0.3537052656
103	0.8541147132	0.3532253532
104	0.855361596	0.3524025876
105	0.8566084788	0.3516682126
106	0.8566084788	0.3508102249
107	0.8566084788	0.3501615582
108	0.855361596	0.349118654
109	0.8578553616	0.3485403964
110	0.8578553616	0.3483062034
111	0.86159601	0.3475432864
112	0.8653366584	0.34684479
113	0.8653366584	0.3461283503
114	0.8678304239	0.3456149967
115	0.8665835411	0.3448512072
116	0.8665835411	0.3444750761
117	0.8665835411	0.3438366074
118	0.8665835411	0.3435246492
119	0.8690773067	0.3426961487
120	0.8703241895	0.3421832607
121	0.8678304239	0.3416875906
122	0.8690773067	0.3412159276
123	0.8715710723	0.3408257301
124	0.8728179551	0.3403222135
125	0.8715710723	0.3401574929
126	0.8728179551	0.3399478934
127	0.8728179551	0.3398323694
128	0.8740648379	0.3396313528
129	0.8728179551	0.3395151227
130	0.8740648379	0.3391247151
131	0.8753117207	0.3386316691
132	0.8753117207	0.3378793633
133	0.8753117207	0.3372890026
134	0.8753117207	0.3366689308
135	0.8753117207	0.3360751087
136	0.8753117207	0.3358545114
137	0.8740648379	0.3353290329
138	0.8740648379	0.3351666041
139	0.8728179551	0.3351349703
140	0.8728179551	0.3351288684
141	0.8715710723	0.3346270709
142	0.8728179551	0.3343648783
143	0.8728179551	0.3338229258
144	0.8715710723	0.3335148585
145	0.8715710723	0.3332853085
146	0.8715710723	0.3332834395
147	0.8715710723	0.3332562632
148	0.8740648379	0.332539018
149	0.8740648379	0.3322377576
150	0.8740648379	0.3320225971
151	0.8753117207	0.3317034592
152	0.8753117207	0.3312971096
153	0.8753117207	0.3308160838
154	0.8753117207	0.3304968438
155	0.8728179551	0.3299117315
156	0.8728179551	0.3299059201
157	0.8715710723	0.3295850287
158	0.8715710723	0.329344226
159	0.8740648379	0.3290240975
160	0.8740648379	0.3287160305
161	0.8740648379	0.3287106334
162	0.8740648379	0.3284569249
163	0.8740648379	0.3281284908
164	0.8740648379	0.3281184089
165	0.8753117207	0.3278132023
166	0.8753117207	0.3274830406
167	0.8753117207	0.3272862791
168	0.8778054863	0.3266229922
169	0.8790523691	0.3260293409
170	0.8790523691	0.3256691901
171	0.8790523691	0.3255406029
172	0.8790523691	0.3253812264
173	0.8790523691	0.3250410759
174	0.8790523691	0.3249582805
175	0.8802992519	0.3241193487
176	0.8802992519	0.3236445603
177	0.8802992519	0.3234864509
178	0.8815461347	0.3227996912
179	0.8827930175	0.3224752865
180	0.8827930175	0.3219353341
181	0.8827930175	0.3216620981
182	0.8827930175	0.3216494711
183	0.8827930175	0.3207900279
184	0.8827930175	0.3207451081
185	0.8840399002	0.3203700561
186	0.885286783	0.3199795405
187	0.885286783	0.3197368518
188	0.885286783	0.3194406396
189	0.885286783	0.3189944887
190	0.8865336658	0.3185613958
191	0.8865336658	0.3183417595
192	0.8865336658	0.3181396187
193	0.8890274314	0.3174676361
194	0.8890274314	0.3168762885
195	0.8890274314	0.3167129339
196	0.8890274314	0.3167006252
197	0.8890274314	0.3163649613
198	0.8890274314	0.3162365504
199	0.8890274314	0.3159777225
200	0.891521197	0.3152022507
201	0.891521197	0.3147666778
202	0.891521197	0.3146797876
203	0.891521197	0.3141426515
