iter	Accuracy	Logloss
0	0.8204488778	0.6716630579
1	0.8379052369	0.6537803084
2	0.8403990025	0.6379085875
3	0.8403990025	0.6212466759
4	0.8416458853	0.6060339178
5	0.8428927681	0.5937453539
6	0.8441396509	0.5797662799
7	0.8391521197	0.5673080183
8	0.8354114713	0.5559565765
9	0.8391521197	0.5466805432
10	0.8366583541	0.5371378805
11	0.8366583541	0.5293399215
12	0.8341645885	0.5210510734
13	0.8316708229	0.5128396232
14	0.8366583541	0.5040974126
15	0.8366583541	0.4975471393
16	0.8391521197	0.4922597941
17	0.8391521197	0.4860573763
18	0.8379052369	0.4801239828
19	0.8366583541	0.4749237078
20	0.8379052369	0.4697835189
21	0.8366583541	0.465587328
22	0.8366583541	0.4620152899
23	0.8403990025	0.4582079211
24	0.8379052369	0.4545428506
25	0.8366583541	0.4493555158
26	0.8379052369	0.4476059499
27	0.8379052369	0.4450214884
28	0.8379052369	0.441550106
29	0.8379052369	0.4393028568
30	0.8379052369	0.4364381216
31	0.8416458853	0.4317994326
32	0.8428927681	0.4277591962
33	0.8416458853	0.4248296037
34	0.8428927681	0.422221536
35	0.8428927681	0.4204247371
36	0.8428927681	0.418153845
37	0.8428927681	0.4159434574
38	0.8428927681	0.4137562501
39	0.8416458853	0.4114683965
40	0.8441396509	0.4091126842
41	0.8428927681	0.4077770926
42	0.8428927681	0.406182702
43	0.8441396509	0.4041341014
44	0.8428927681	0.4032741017
45	0.8416458853	0.4009935209
46	0.8416458853	0.3998255852
47	0.8441396509	0.3978147026
48	0.8428927681	0.3952728238
49	0.8428927681	0.3939465955
50	0.8441396509	0.3921063524
51	0.8441396509	0.3905841235
52	0.8453865337	0.3884788856
53	0.8453865337	0.3873838343
54	0.8453865337	0.3857072744
55	0.8466334165	0.3842546395
56	0.8453865337	0.382789267
57	0.8453865337	0.3814749583
58	0.8478802993	0.3802885767
59	0.8478802993	0.3788383378
60	0.849127182	0.3773675069
61	0.849127182	0.3763359776
62	0.849127182	0.3749145821
63	0.849127182	0.3731750033
64	0.8503740648	0.3718836317
65	0.8503740648	0.3707427478
66	0.8503740648	0.3696570587
67	0.8503740648	0.3685983242
68	0.8503740648	0.3673080972
69	0.8503740648	0.3657833933
70	0.8503740648	0.36469452
71	0.8503740648	0.363912085
72	0.8516209476	0.3628874225
73	0.8516209476	0.3615603941
74	0.8516209476	0.3609666988
75	0.8516209476	0.3598328161
76	0.8516209476	0.3587962869
77	0.8528678304	0.3578237182
78	0.8528678304	0.3574738079
79	0.8528678304	0.3567011193
