iter	Passed	Remaining
0	33	32970
1	95	47879
2	136	45223
3	196	48845
4	255	50885
5	315	52286
6	385	54721
7	495	61434
8	578	63656
9	673	66710
10	732	65885
11	791	65134
12	855	64960
13	915	64485
14	947	62221
15	1028	63226
16	1096	63405
17	1149	62718
18	1212	62627
19	1304	63929
20	1372	63975
21	1430	63613
22	1490	63321
23	1510	61439
24	1569	61213
25	1629	61052
26	1690	60928
27	1749	60744
28	1800	60279
29	1860	60153
30	1881	58799
31	1939	58675
32	1998	58548
33	2058	58488
34	2118	58409
35	2175	58266
36	2233	58126
37	2282	57779
38	2340	57663
39	2399	57594
40	2458	57515
41	2517	57422
42	2576	57333
43	2633	57227
44	2691	57129
45	2831	58716
46	2893	58668
47	2989	59300
48	3050	59202
49	3122	59319
50	3180	59183
51	3239	59059
52	3277	58564
53	3335	58437
54	3394	58330
55	3453	58217
56	3512	58113
57	3571	58009
58	3633	57945
59	3692	57845
60	3751	57748
61	3810	57646
62	3860	57411
63	3919	57327
64	3980	57251
65	4000	56615
66	4061	56552
67	4125	56547
68	4183	56446
69	4241	56346
70	4299	56258
71	4357	56159
72	4397	55836
73	4455	55754
74	4512	55660
75	4571	55584
76	4630	55508
77	4698	55537
78	4763	55535
79	4825	55491
80	4884	55412
81	4941	55321
82	5000	55248
83	5135	55998
84	5199	55971
85	5289	56215
86	5349	56136
87	5421	56188
88	5484	56140
89	5534	55956
90	5592	55868
91	5651	55777
92	5710	55691
93	5784	55748
94	5846	55693
95	5907	55632
96	5976	55640
97	6039	55590
98	6108	55596
99	6175	55577
100	6237	55520
101	6299	55459
102	6363	55420
103	6422	55336
104	6458	55053
105	6519	54983
106	6591	55013
107	6651	54939
108	6710	54852
109	6771	54788
110	6831	54710
111	6890	54631
112	6949	54552
113	7011	54494
114	7071	54423
115	7132	54357
116	7209	54410
117	7270	54346
118	7339	54335
119	7416	54385
120	7470	54268
121	7554	54364
122	7616	54308
123	7675	54224
124	7735	54150
125	7796	54079
126	7854	53989
127	7913	53909
128	7973	53835
129	8032	53758
130	8072	53549
131	8132	53477
132	8191	53398
133	8249	53315
134	8306	53222
135	8365	53142
136	8423	53062
137	8480	52974
138	8541	52910
139	8603	52851
140	8665	52793
141	8727	52734
142	8786	52658
143	8850	52608
144	8911	52545
145	8970	52468
146	9029	52396
147	9088	52320
148	9149	52258
149	9211	52200
150	9280	52181
