iter	Passed	Remaining
0	31	31126
1	88	44366
2	155	51756
3	233	58078
4	272	54198
5	332	55102
6	393	55804
7	454	56370
8	514	56610
9	574	56828
10	604	54363
11	637	52453
12	702	53365
13	763	53767
14	822	54008
15	884	54398
16	945	54695
17	1009	55080
18	1088	56177
19	1152	56466
20	1214	56627
21	1364	60653
22	1450	61632
23	1543	62785
24	1610	62823
25	1671	62634
26	1736	62584
27	1796	62359
28	1817	60866
29	1876	60677
30	1939	60617
31	2001	60531
32	2067	60576
33	2125	60396
34	2184	60224
35	2251	60279
36	2314	60231
37	2375	60128
38	2437	60052
39	2497	59940
40	2558	59848
41	2619	59752
42	2681	59678
43	2749	59729
44	2810	59637
45	2866	59457
46	2930	59419
47	2990	59309
48	3050	59196
49	3109	59077
50	3168	58956
51	3189	58140
52	3228	57692
53	3288	57614
54	3348	57535
55	3379	56963
56	3438	56888
57	3498	56828
58	3560	56780
59	3701	57995
60	3776	58136
61	3851	58265
62	3912	58189
63	3972	58096
64	4049	58245
65	4111	58178
66	4173	58119
67	4233	58020
68	4300	58026
69	4359	57922
70	4418	57817
71	4479	57734
72	4539	57650
73	4600	57563
74	4659	57471
75	4718	57369
76	4778	57278
77	4838	57196
78	4900	57127
79	4962	57074
80	5020	56965
81	5083	56914
82	5142	56820
83	5201	56715
84	5260	56624
85	5319	56538
86	5349	56141
87	5408	56054
88	5467	55962
89	5528	55894
90	5589	55834
91	5662	55890
92	5726	55852
93	5786	55768
94	5846	55691
95	5951	56042
96	6047	56302
97	6134	56459
98	6193	56366
99	6251	56266
100	6311	56180
101	6377	56144
102	6436	56055
103	6496	55967
104	6556	55888
105	6615	55798
106	6675	55714
107	6740	55675
108	6798	55570
109	6857	55481
110	6932	55524
111	6992	55439
112	7050	55345
113	7110	55261
114	7169	55171
115	7228	55085
116	7287	55000
117	7327	54769
118	7386	54683
119	7446	54604
120	7506	54531
121	7567	54457
122	7626	54381
123	7685	54297
124	7746	54225
125	7805	54143
126	7867	54078
127	7929	54016
128	7988	53936
129	8046	53849
130	8066	53510
131	8126	53437
132	8176	53300
133	8261	53392
134	8340	53443
135	8434	53585
136	8501	53556
137	8560	53474
138	8619	53391
139	8650	53136
140	8709	53057
141	8768	52981
142	8789	52674
143	8809	52369
144	8868	52296
145	8929	52231
146	8988	52160
147	9046	52080
148	9067	51786
149	9126	51717
150	9146	51428
151	9205	51359
152	9265	51292
153	9316	51178
154	9376	51115
155	9405	50888
156	9465	50826
157	9525	50761
158	9597	50764
159	9655	50693
160	9715	50627
161	9775	50568
162	9835	50504
163	9895	50444
164	9956	50384
165	10015	50317
166	10075	50254
167	10124	50140
168	10184	50079
169	10254	50067
170	10284	49860
171	10327	49717
172	10389	49667
173	10422	49475
174	10484	49425
175	10612	49687
176	10684	49682
177	10775	49763
178	10837	49708
179	10896	49640
180	10958	49586
181	11018	49521
182	11084	49484
183	11124	49334
184	11187	49286
185	11256	49262
186	11278	49033
187	11336	48962
188	11394	48895
189	11453	48829
190	11513	48768
191	11574	48710
192	11638	48664
193	11718	48687
194	11777	48618
195	11838	48561
196	11902	48516
197	11925	48303
198	11985	48243
199	12044	48179
200	12103	48112
201	12164	48054
202	12224	47993
203	12283	47930
204	12344	47871
205	12408	47828
206	12490	47848
207	12550	47787
208	12609	47722
209	12665	47646
210	12723	47578
211	12784	47519
212	12813	47342
213	12935	47509
214	13029	47571
215	13070	47441
216	13133	47387
217	13193	47325
218	13251	47257
219	13311	47195
220	13371	47134
221	13433	47076
222	13492	47012
223	13565	46995
224	13624	46930
225	13692	46894
226	13753	46833
227	13813	46770
228	13843	46608
229	13913	46578
230	13974	46520
231	14033	46455
232	14091	46388
233	14170	46386
234	14243	46366
235	14302	46302
236	14361	46234
237	14431	46204
238	14462	46050
239	14493	45896
240	14513	45709
241	14535	45528
242	14595	45466
243	14644	45373
244	14665	45193
245	14726	45136
246	14786	45078
247	14807	44901
248	14866	44838
249	14925	44775
250	14986	44720
251	15017	44575
252	15076	44514
253	15179	44581
254	15265	44600
255	15358	44635
256	15419	44577
257	15480	44521
258	15563	44526
259	15622	44464
260	15682	44404
261	15742	44342
262	15801	44280
263	15862	44221
264	15922	44161
265	15981	44100
266	16051	44067
267	16112	44010
268	16173	43950
269	16241	43911
270	16301	43851
271	16362	43793
272	16420	43729
273	16480	43666
274	16538	43602
275	16599	43543
276	16658	43480
277	16720	43424
278	16784	43374
279	16841	43306
280	16900	43243
281	16963	43190
282	17023	43130
283	17087	43079
284	17128	42971
285	17192	42921
286	17252	42861
287	17313	42801
288	17376	42748
289	17486	42811
290	17579	42830
291	17675	42856
292	17727	42775
293	17798	42739
294	17861	42685
295	17923	42628
296	17982	42563
297	18042	42502
298	18104	42445
299	18165	42385
300	18226	42325
301	18286	42265
302	18346	42202
303	18404	42137
304	18464	42074
305	18522	42007
306	18581	41944
307	18641	41881
308	18700	41818
309	18760	41757
310	18822	41699
311	18891	41657
312	18956	41606
313	19019	41552
314	19082	41495
315	19144	41439
316	19204	41377
317	19266	41320
318	19332	41270
319	19391	41206
320	19452	41146
321	19513	41087
322	19574	41027
323	19635	40967
324	19695	40906
325	19799	40935
326	19896	40949
327	19983	40941
328	20043	40879
329	20108	40826
330	20171	40769
331	20257	40759
332	20330	40722
333	20396	40670
334	20458	40611
335	20520	40552
336	20599	40526
337	20669	40481
338	20730	40421
339	20791	40359
340	20851	40295
341	20919	40248
342	20979	40185
343	21039	40121
344	21108	40075
345	21178	40030
346	21238	39968
347	21298	39904
348	21358	39841
349	21419	39778
350	21478	39714
351	21541	39655
352	21603	39595
353	21662	39530
354	21721	39465
355	21779	39399
356	21841	39338
357	21909	39289
358	21968	39224
359	22033	39171
360	22155	39216
361	22225	39171
362	22308	39147
363	22369	39084
364	22428	39019
365	22490	38959
366	22551	38896
367	22610	38831
368	22671	38769
369	22733	38707
370	22792	38642
371	22851	38577
372	22914	38518
373	22976	38458
374	23037	38396
375	23102	38340
376	23164	38279
377	23226	38219
378	23287	38157
379	23348	38095
380	23409	38033
381	23470	37971
382	23539	37921
383	23597	37854
384	23656	37789
385	23717	37727
386	23779	37667
387	23845	37611
388	23910	37555
389	23971	37494
390	24031	37429
391	24089	37363
392	24147	37297
393	24208	37233
394	24269	37172
395	24339	37123
396	24461	37153
397	24531	37106
398	24610	37070
399	24672	37008
400	24734	36946
401	24796	36886
402	24856	36822
403	24918	36761
404	24978	36697
405	25038	36632
406	25097	36567
407	25158	36504
408	25217	36439
409	25277	36374
410	25337	36310
411	25396	36244
412	25456	36181
413	25518	36119
414	25578	36055
415	25637	35991
416	25697	35926
417	25755	35860
418	25815	35797
419	25877	35735
420	25936	35670
421	25995	35605
422	26057	35543
423	26117	35480
424	26180	35420
425	26238	35354
426	26298	35290
427	26361	35230
428	26421	35167
429	26487	35111
430	26547	35048
431	26607	34984
432	26739	35014
433	26807	34960
434	26888	34923
435	26953	34865
436	27011	34800
437	27070	34734
438	27129	34668
439	27187	34602
440	27246	34537
441	27305	34471
442	27365	34407
443	27425	34343
444	27490	34285
445	27550	34222
446	27609	34156
447	27668	34091
448	27727	34026
449	27787	33962
450	27847	33898
451	27908	33836
452	27969	33773
453	28028	33708
454	28090	33646
455	28147	33579
456	28218	33529
457	28276	33463
458	28335	33397
459	28395	33333
460	28456	33271
461	28516	33207
462	28575	33143
463	28635	33078
464	28696	33016
465	28756	32952
466	28825	32899
467	28889	32840
468	29007	32842
469	29096	32810
470	29184	32778
471	29247	32717
472	29309	32655
473	29375	32597
474	29441	32540
475	29513	32489
476	29574	32426
477	29634	32361
478	29695	32299
479	29755	32234
480	29814	32170
481	29875	32106
482	29936	32043
483	29995	31978
484	30054	31913
485	30115	31850
486	30174	31785
487	30233	31720
488	30295	31658
489	30354	31593
490	30414	31529
491	30475	31466
492	30579	31447
493	30648	31392
494	30708	31328
495	30767	31264
496	30827	31199
497	30888	31136
498	30949	31073
499	31008	31008
500	31066	30942
501	31126	30878
502	31186	30814
503	31298	30801
504	31390	30769
505	31485	30738
506	31551	30680
507	31614	30618
508	31679	30559
509	31740	30496
510	31806	30436
511	31867	30374
512	31931	30313
513	31993	30250
514	32055	30187
515	32116	30124
516	32178	30062
517	32242	30001
518	32305	29940
519	32366	29876
520	32425	29811
521	32484	29746
522	32544	29681
523	32607	29620
524	32676	29564
525	32736	29500
526	32795	29435
527	32861	29376
528	32926	29316
529	32998	29262
530	33057	29197
531	33118	29134
532	33177	29069
533	33236	29003
534	33300	28943
535	33362	28880
536	33424	28818
537	33485	28754
538	33563	28706
539	33705	28712
540	33801	28678
541	33872	28622
542	33933	28558
543	33994	28495
544	34054	28431
545	34120	28371
546	34180	28306
547	34241	28242
548	34313	28188
549	34375	28125
550	34437	28062
551	34496	27997
552	34563	27938
553	34628	27877
554	34693	27816
555	34754	27753
556	34812	27687
557	34871	27622
558	34934	27559
559	35002	27501
560	35064	27439
561	35126	27376
562	35186	27311
563	35244	27245
564	35303	27180
565	35362	27115
566	35422	27050
567	35483	26987
568	35542	26922
569	35602	26857
570	35668	26798
571	35741	26743
572	35807	26683
573	35868	26620
574	36003	26611
575	36102	26575
576	36163	26511
577	36224	26447
578	36287	26385
579	36351	26323
580	36411	26258
581	36471	26194
582	36531	26129
583	36594	26067
584	36656	26004
585	36715	25939
586	36775	25874
587	36832	25808
588	36892	25743
589	36955	25680
590	37014	25616
591	37074	25551
592	37142	25492
593	37209	25432
594	37269	25368
595	37330	25304
596	37392	25241
597	37450	25176
598	37511	25111
599	37571	25047
600	37631	24983
601	37690	24917
602	37750	24854
