iter	Accuracy	Logloss
0	0.8002496879	0.6764566852
1	0.8214731586	0.658642526
2	0.8239700375	0.6425308636
3	0.8139825218	0.6295484023
4	0.8264669164	0.6147415052
5	0.8302122347	0.6007376142
6	0.8277153558	0.5901394794
7	0.8189762797	0.577974685
8	0.8189762797	0.5657514187
9	0.8189762797	0.5551347598
10	0.8239700375	0.5469636082
11	0.8189762797	0.539789249
12	0.8252184769	0.5323065411
13	0.8252184769	0.5226206533
14	0.8302122347	0.5136591513
15	0.8302122347	0.5061043117
16	0.8314606742	0.4978275015
17	0.8314606742	0.4922052673
18	0.8289637953	0.485875113
19	0.8352059925	0.4808153412
20	0.8314606742	0.474863045
21	0.8327091136	0.4695332953
22	0.8339575531	0.4654582291
23	0.8339575531	0.4615850906
24	0.8352059925	0.4566465449
25	0.8352059925	0.4533854457
26	0.8339575531	0.4488792796
27	0.8401997503	0.4450058513
28	0.8339575531	0.4405473731
29	0.8377028714	0.4378111523
30	0.8352059925	0.4336255531
31	0.8401997503	0.4295350687
32	0.8389513109	0.4265575606
33	0.836454432	0.4244725142
34	0.8389513109	0.4217079781
35	0.8414481898	0.4191935727
36	0.8414481898	0.4166818892
37	0.8377028714	0.4142513841
38	0.8389513109	0.4123078651
39	0.8389513109	0.4097779225
40	0.8401997503	0.4077507423
41	0.8451935081	0.4049284662
42	0.8439450687	0.4040349939
43	0.8451935081	0.4027140251
44	0.8464419476	0.4006095327
45	0.8426966292	0.3991098876
46	0.8426966292	0.3976571376
47	0.8439450687	0.3959005164
48	0.8464419476	0.3926036985
49	0.8464419476	0.3914938179
50	0.847690387	0.3902382503
51	0.8451935081	0.3881190135
52	0.8451935081	0.3869941155
53	0.8439450687	0.3862562526
54	0.8464419476	0.3859652818
55	0.8464419476	0.3854658189
56	0.8464419476	0.3841194849
57	0.8451935081	0.3823453066
58	0.8464419476	0.3804692141
59	0.847690387	0.3791144953
60	0.847690387	0.3773212481
61	0.8489388265	0.3770384629
62	0.8489388265	0.3754268558
63	0.8501872659	0.3744485104
64	0.8514357054	0.3733898335
65	0.8526841448	0.3723761853
66	0.8526841448	0.3711207975
67	0.8501872659	0.3696942791
68	0.8514357054	0.3681925628
69	0.8526841448	0.3671502687
70	0.8526841448	0.3658628773
71	0.8539325843	0.3656921467
72	0.8539325843	0.3647492321
73	0.8539325843	0.3637223089
74	0.8539325843	0.3637064606
75	0.8564294632	0.3626395882
76	0.8564294632	0.361642417
77	0.8564294632	0.3608300886
78	0.8576779026	0.3595565787
79	0.8601747815	0.358439696
80	0.861423221	0.3576325275
81	0.861423221	0.357030244
82	0.861423221	0.3565060214
83	0.861423221	0.3559838852
84	0.861423221	0.3550381765
85	0.8626716604	0.3539385095
86	0.861423221	0.3534709324
87	0.861423221	0.3531301044
88	0.861423221	0.3523808493
89	0.8601747815	0.3518902625
90	0.8626716604	0.3510153617
91	0.8626716604	0.3501958449
92	0.8626716604	0.3496640282
93	0.8651685393	0.3486460639
94	0.8639200999	0.3478915699
95	0.8639200999	0.347106603
96	0.8664169788	0.3463420121
97	0.8676654182	0.3458979728
98	0.8664169788	0.3448566052
99	0.8676654182	0.3445977248
100	0.8664169788	0.3442071907
101	0.8664169788	0.3438204697
102	0.8664169788	0.3438183028
103	0.8689138577	0.3430604888
104	0.8689138577	0.3427671374
105	0.8714107366	0.3424149525
106	0.8701622971	0.3419960848
107	0.8714107366	0.3417392679
108	0.8714107366	0.3411547713
109	0.8714107366	0.3406834751
110	0.8701622971	0.3401857979
111	0.8714107366	0.3396947667
112	0.8714107366	0.3394899764
113	0.8714107366	0.3392570097
114	0.8739076155	0.3383343033
115	0.8739076155	0.3377031506
116	0.8739076155	0.3371124782
117	0.8751560549	0.3361245785
118	0.8751560549	0.3356418508
119	0.8751560549	0.3353376624
120	0.8751560549	0.3348807243
