iter	Passed	Remaining
0	31	31489
1	81	40762
2	141	47170
3	203	50589
4	264	52554
5	295	48930
6	353	50175
7	413	51225
8	474	52231
9	571	56575
10	665	59846
11	766	63068
12	825	62657
13	886	62420
14	945	62111
15	1011	62216
16	1086	62838
17	1155	63054
18	1264	65287
19	1335	65440
20	1385	64613
21	1419	63124
22	1449	61593
23	1500	61001
24	1560	60863
25	1620	60713
26	1680	60546
27	1747	60649
28	1817	60846
29	1876	60667
30	1950	60958
31	2012	60863
32	2080	60956
33	2141	60851
34	2200	60671
35	2276	60946
36	2348	61124
37	2410	61021
38	2472	60913
39	2532	60778
40	2599	60795
41	2666	60815
42	2731	60786
43	2791	60651
44	2915	61878
45	2990	62013
46	3075	62352
47	3099	61464
48	3158	61297
49	3218	61147
50	3278	61006
51	3338	60864
52	3400	60751
53	3459	60603
54	3519	60470
55	3578	60324
56	3638	60198
57	3698	60073
58	3758	59949
59	3819	59838
60	3879	59713
61	3938	59593
62	3999	59478
63	4065	59453
64	4127	59377
65	4187	59263
66	4208	58604
67	4268	58508
68	4327	58393
69	4388	58298
70	4448	58207
71	4509	58116
72	4569	58027
73	4628	57916
74	4689	57841
75	4750	57760
76	4811	57674
77	4873	57604
78	4933	57519
79	5007	57588
80	5028	57052
81	5088	56968
82	5184	57281
83	5271	57488
84	5370	57810
85	5432	57736
86	5493	57647
87	5552	57540
88	5601	57335
89	5659	57227
90	5719	57132
91	5780	57047
92	5830	56859
93	5889	56769
94	5938	56575
95	5997	56477
96	6064	56458
97	6126	56390
98	6187	56316
99	6246	56222
100	6317	56230
101	6357	55974
102	6429	55992
103	6490	55917
104	6550	55834
105	6611	55763
106	6679	55749
107	6711	55431
108	6773	55366
109	6836	55313
110	6867	54999
111	6927	54925
112	6989	54862
113	7050	54798
114	7113	54745
115	7175	54679
116	7236	54617
117	7296	54541
118	7346	54388
119	7406	54315
120	7520	54633
121	7617	54818
122	7706	54946
123	7767	54872
124	7828	54797
125	7887	54710
126	7947	54630
127	8007	54549
128	8067	54471
