iter	Accuracy	Logloss
0	0.783042394	0.677421697
1	0.8092269327	0.6604445858
2	0.8179551122	0.643941549
3	0.8204488778	0.629429515
4	0.8229426434	0.6155383519
5	0.8167082294	0.6041867667
6	0.8179551122	0.5922168241
7	0.8204488778	0.5803264688
8	0.8216957606	0.5688377146
9	0.8241895262	0.5603235328
10	0.8279301746	0.5508422463
11	0.8316708229	0.5422381591
12	0.8316708229	0.5336386837
13	0.8316708229	0.5251517568
14	0.8316708229	0.5175247752
15	0.8316708229	0.5104021017
16	0.8329177057	0.504642848
17	0.8316708229	0.4980358767
18	0.8316708229	0.4923560729
19	0.8304239401	0.4873159057
20	0.8291770574	0.4834090709
21	0.8304239401	0.4803870846
22	0.8341645885	0.4775621391
23	0.8354114713	0.4739400715
24	0.8304239401	0.4696147425
25	0.8291770574	0.4651933613
26	0.8304239401	0.4613134234
27	0.8316708229	0.4579396253
28	0.8316708229	0.4539531922
29	0.8316708229	0.4509414668
30	0.8304239401	0.4476304256
31	0.8316708229	0.4459364129
32	0.8316708229	0.4428513753
33	0.8316708229	0.4400995373
34	0.8316708229	0.4374822417
35	0.8316708229	0.4353260243
36	0.8316708229	0.4333022619
37	0.8316708229	0.4318348789
38	0.8316708229	0.4289274305
39	0.8316708229	0.4271661326
40	0.8316708229	0.4243868053
41	0.8316708229	0.4221874246
42	0.8329177057	0.4197408798
43	0.8329177057	0.4173462686
44	0.8329177057	0.4158361483
45	0.8366583541	0.4133828637
46	0.8391521197	0.4107944917
47	0.8391521197	0.4101430832
48	0.8379052369	0.4081241228
49	0.8379052369	0.4053239433
50	0.8416458853	0.4031630659
51	0.8416458853	0.4010203304
52	0.8453865337	0.3984450457
53	0.8453865337	0.3970159119
54	0.8453865337	0.3960159633
55	0.8441396509	0.3940802087
56	0.8453865337	0.3925964486
57	0.8466334165	0.3914392245
58	0.8453865337	0.3900225899
59	0.8466334165	0.3883817621
60	0.8453865337	0.3869145897
61	0.8466334165	0.3855838128
62	0.8453865337	0.3842367429
63	0.8453865337	0.3828943941
64	0.8478802993	0.3814012983
65	0.8453865337	0.380151798
66	0.8453865337	0.3797993851
67	0.8453865337	0.378191323
68	0.8478802993	0.37657969
69	0.8478802993	0.3759152478
70	0.849127182	0.3752350479
71	0.8503740648	0.3741554773
72	0.8516209476	0.373035039
73	0.855361596	0.3722365353
74	0.8578553616	0.3709634303
75	0.8578553616	0.3698308391
76	0.8578553616	0.3690979295
77	0.8603491272	0.3679062452
78	0.8603491272	0.3673234441
79	0.8603491272	0.3663438453
80	0.8603491272	0.3663257269
81	0.8603491272	0.3651156394
82	0.8603491272	0.3640639168
83	0.8603491272	0.3636596936
84	0.8603491272	0.3624782725
85	0.86159601	0.3615752462
86	0.86159601	0.3609545714
87	0.86159601	0.3603530163
88	0.8603491272	0.3599614606
89	0.8603491272	0.3595790052
90	0.8628428928	0.3584944263
91	0.8628428928	0.357645096
92	0.8628428928	0.3574086702
93	0.8628428928	0.3565190476
94	0.8628428928	0.3564361658
95	0.8640897756	0.3555314118
96	0.8628428928	0.3550727455
97	0.8640897756	0.3543454915
98	0.8640897756	0.3540877272
99	0.8640897756	0.3535925789
100	0.8640897756	0.3535585098
101	0.8640897756	0.3535448141
102	0.8640897756	0.3529465608
103	0.8640897756	0.3526200131
104	0.8640897756	0.3523662054
105	0.8653366584	0.3517673336
106	0.8640897756	0.351407035
107	0.8640897756	0.3512126178
108	0.8640897756	0.3509854797
109	0.8640897756	0.350572059
110	0.8640897756	0.3504646831
111	0.8640897756	0.350196788
112	0.8665835411	0.3497213105
113	0.8678304239	0.3490005962
114	0.8665835411	0.3472939062
115	0.8665835411	0.3467440311
116	0.8665835411	0.3462008182
117	0.8690773067	0.3457759737
118	0.8690773067	0.3455364544
119	0.8678304239	0.3449239925
120	0.8678304239	0.3440857015
121	0.8690773067	0.3434899818
122	0.8678304239	0.3427808526
123	0.8678304239	0.3423422871
124	0.8703241895	0.341836466
125	0.8690773067	0.3411890518
126	0.8703241895	0.3407880655
127	0.8690773067	0.3399574317
128	0.8703241895	0.3390883174
129	0.8690773067	0.3385214012
130	0.8690773067	0.3378881996
131	0.8690773067	0.3374044183
132	0.8703241895	0.3367588706
133	0.8703241895	0.3364685666
134	0.8703241895	0.3356930519
135	0.8703241895	0.3353209658
136	0.8703241895	0.3349774791
137	0.8703241895	0.3344079133
138	0.8703241895	0.3342018232
139	0.8703241895	0.3338709756
140	0.8703241895	0.3331890621
141	0.8703241895	0.3327719405
142	0.8703241895	0.3326871909
143	0.8715710723	0.3319591645
144	0.8703241895	0.3317671729
145	0.8715710723	0.3314526309
146	0.8728179551	0.3312298561
147	0.8740648379	0.330793469
148	0.8753117207	0.3305235404
149	0.8765586035	0.3297797272
150	0.8765586035	0.3295913661
151	0.8765586035	0.32945978
152	0.8765586035	0.3292705972
153	0.8765586035	0.329253805
154	0.8765586035	0.3291126085
155	0.8765586035	0.328509311
156	0.8753117207	0.328237286
157	0.8765586035	0.327710147
158	0.8765586035	0.3271272501
159	0.8765586035	0.3264914431
160	0.8778054863	0.3259312686
161	0.8790523691	0.325576674
162	0.8790523691	0.3248938877
163	0.8815461347	0.3242084868
164	0.8815461347	0.3240770546
165	0.8840399002	0.3235108763
166	0.8840399002	0.3228775252
167	0.885286783	0.3224692442
168	0.885286783	0.3224410244
169	0.885286783	0.3223335579
170	0.8840399002	0.3219627011
171	0.8840399002	0.3218449969
172	0.8840399002	0.3218449954
173	0.8840399002	0.321581493
174	0.8840399002	0.3213765021
175	0.8840399002	0.32117215
176	0.8840399002	0.3206839626
177	0.8840399002	0.320472435
178	0.885286783	0.3200727385
179	0.8865336658	0.319686679
180	0.8865336658	0.3194366787
181	0.8865336658	0.3194362516
182	0.8865336658	0.3194362513
183	0.8865336658	0.319436251
184	0.8877805486	0.3191921326
185	0.8877805486	0.3190366368
186	0.8877805486	0.3189541793
187	0.8877805486	0.3188494125
188	0.8877805486	0.3180659204
189	0.8865336658	0.3173947967
190	0.8865336658	0.3173359801
191	0.8865336658	0.3168877187
192	0.8865336658	0.3165755979
193	0.8865336658	0.3165662742
194	0.8865336658	0.3163198005
195	0.8865336658	0.316057069
196	0.8865336658	0.3156370156
197	0.8877805486	0.3151538377
198	0.8877805486	0.314987889
199	0.8877805486	0.3147737717
200	0.8877805486	0.3146094703
201	0.8877805486	0.3142032474
202	0.8877805486	0.3139561705
203	0.8890274314	0.3136192738
204	0.8890274314	0.3132083142
205	0.8890274314	0.3126227089
206	0.891521197	0.3117276898
207	0.891521197	0.3114714374
208	0.891521197	0.3114667936
209	0.8927680798	0.3112851293
210	0.8940149626	0.310793494
211	0.8940149626	0.31058968
212	0.8940149626	0.3102009442
213	0.8940149626	0.3099324826
214	0.8952618454	0.3097376029
215	0.8952618454	0.3095521727
216	0.8940149626	0.308864996
217	0.8940149626	0.3087227719
218	0.8940149626	0.3085809627
219	0.8940149626	0.3081714854
220	0.8940149626	0.3081562288
221	0.8940149626	0.3077984205
222	0.8940149626	0.3074509047
223	0.8940149626	0.3070592427
224	0.8940149626	0.3067516161
225	0.8940149626	0.3064255174
226	0.8952618454	0.3057565582
227	0.8952618454	0.3056760824
228	0.8952618454	0.3052264165
229	0.8952618454	0.3047618623
230	0.8952618454	0.3047374753
231	0.8952618454	0.3046556114
232	0.8965087282	0.304198719
233	0.8952618454	0.3035584527
234	0.8952618454	0.3029827364
235	0.8990024938	0.302488151
236	0.8990024938	0.302230417
237	0.8990024938	0.3018659192
238	0.8965087282	0.3014004414
239	0.897755611	0.3013274485
240	0.897755611	0.3010673893
241	0.8965087282	0.3007707715
242	0.8965087282	0.3006347131
243	0.8965087282	0.3005980309
244	0.8965087282	0.3004228646
245	0.8965087282	0.3003798401
246	0.897755611	0.3000768621
247	0.8965087282	0.2999583025
248	0.897755611	0.2996655576
249	0.897755611	0.2991270676
250	0.897755611	0.2990788822
251	0.897755611	0.2985013147
252	0.897755611	0.2981401954
253	0.897755611	0.2978203082
254	0.897755611	0.2977855363
255	0.897755611	0.2975591744
256	0.897755611	0.297516557
257	0.897755611	0.2972989388
258	0.897755611	0.2969918427
259	0.8990024938	0.2967180822
260	0.9002493766	0.2961767474
261	0.9002493766	0.2960320245
262	0.9002493766	0.2958244127
263	0.9014962594	0.2952521566
264	0.9014962594	0.2950990419
265	0.9014962594	0.294981971
266	0.9014962594	0.2945016778
267	0.9014962594	0.2940869942
268	0.9014962594	0.293828595
269	0.9014962594	0.2937629983
270	0.9014962594	0.2935291108
271	0.9014962594	0.2933791427
272	0.9027431421	0.2924590359
273	0.9052369077	0.2920748391
274	0.9052369077	0.2919510102
275	0.9052369077	0.2917972466
276	0.9052369077	0.2917434617
277	0.9039900249	0.2913749303
