iter	Accuracy	Logloss
0	0.8117206983	0.6748933493
1	0.8142144638	0.6573330256
2	0.8104738155	0.6432254282
3	0.8117206983	0.6273788895
4	0.8229426434	0.6117269313
5	0.8241895262	0.5969424585
6	0.8241895262	0.5853800847
7	0.8304239401	0.572482177
8	0.8291770574	0.5614922902
9	0.8291770574	0.5531643811
10	0.8291770574	0.5447628994
11	0.8229426434	0.5388345228
12	0.8229426434	0.5324487384
13	0.8179551122	0.5238269454
14	0.8316708229	0.5143002231
15	0.8216957606	0.5070907727
16	0.8241895262	0.5004557533
17	0.8229426434	0.4970082565
18	0.8216957606	0.4911083898
19	0.8279301746	0.4849182161
20	0.825436409	0.4786058705
21	0.8291770574	0.4736589886
22	0.8279301746	0.4696807816
23	0.8304239401	0.4649206292
24	0.825436409	0.4612304844
25	0.825436409	0.4573752217
26	0.8304239401	0.4537393447
27	0.8329177057	0.4503477299
28	0.8341645885	0.446658291
29	0.8329177057	0.4426504414
30	0.8379052369	0.4399611311
31	0.8428927681	0.436495933
32	0.8428927681	0.432595099
33	0.8441396509	0.4294693749
34	0.8453865337	0.4272259019
35	0.8466334165	0.4250444872
36	0.8453865337	0.4227754822
37	0.8366583541	0.4207194026
38	0.8354114713	0.4190508671
39	0.8354114713	0.4169770601
40	0.8379052369	0.4149492937
41	0.8379052369	0.4126941188
42	0.8391521197	0.410721891
43	0.8391521197	0.40901188
44	0.8391521197	0.4084541495
45	0.8403990025	0.4069303428
46	0.8416458853	0.4049940052
47	0.8416458853	0.4033611044
48	0.8428927681	0.4015401117
49	0.8466334165	0.398792635
50	0.849127182	0.395791345
51	0.8516209476	0.3944343923
52	0.8478802993	0.3928124252
53	0.8516209476	0.390800238
54	0.849127182	0.3887483592
55	0.849127182	0.3871509266
56	0.8441396509	0.3852426071
57	0.8478802993	0.3838020686
58	0.8478802993	0.3822405984
59	0.8478802993	0.3802983548
60	0.849127182	0.3790584627
61	0.849127182	0.3784349894
62	0.8516209476	0.3779581715
63	0.8528678304	0.3758967606
64	0.8541147132	0.375050623
65	0.8578553616	0.3736208301
66	0.8591022444	0.3719246895
67	0.8628428928	0.3709254647
68	0.8628428928	0.3697350121
69	0.86159601	0.368502415
70	0.8653366584	0.3678345363
71	0.8665835411	0.3663995813
72	0.8678304239	0.365319088
73	0.8678304239	0.3642319257
74	0.8678304239	0.3632163482
75	0.8678304239	0.3624802171
76	0.8678304239	0.3617587427
77	0.8678304239	0.3610871317
78	0.8653366584	0.3609782272
79	0.8665835411	0.3606018593
80	0.8690773067	0.359454422
81	0.8690773067	0.3587950877
82	0.8703241895	0.3578101725
83	0.8703241895	0.3573368122
84	0.8690773067	0.3569149446
85	0.8715710723	0.3562967047
86	0.8715710723	0.3554607687
87	0.8728179551	0.3547054641
88	0.8715710723	0.3534866253
89	0.8728179551	0.3523298377
90	0.8740648379	0.3517689524
91	0.8740648379	0.3513117268
92	0.8753117207	0.3507061545
93	0.8753117207	0.3499619828
94	0.8753117207	0.3493488515
95	0.8753117207	0.3490320211
96	0.8753117207	0.3488015245
97	0.8753117207	0.3482250303
98	0.8753117207	0.3472188444
99	0.8765586035	0.3465653997
100	0.8765586035	0.3456978455
101	0.8765586035	0.3449192079
102	0.8765586035	0.3442926761
103	0.8765586035	0.3441787532
104	0.8765586035	0.3437978254
105	0.8765586035	0.3432655321
106	0.8765586035	0.3427449317
107	0.8778054863	0.3422642412
108	0.8778054863	0.3422114461
109	0.8778054863	0.3419312145
110	0.8765586035	0.3409347029
111	0.8753117207	0.3403786169
112	0.8765586035	0.3399333838
113	0.8778054863	0.3390083105
114	0.8778054863	0.3387555619
115	0.8778054863	0.3384872204
116	0.8753117207	0.3374486461
117	0.8753117207	0.3373931339
118	0.8778054863	0.3369742558
119	0.8765586035	0.3361697519
120	0.8778054863	0.3356121506
121	0.8790523691	0.3345843988
122	0.8790523691	0.3345333585
123	0.8790523691	0.3341576309
124	0.8802992519	0.3337200863
125	0.8802992519	0.3333442228
126	0.8802992519	0.3330088955
127	0.8790523691	0.3324971016
128	0.8790523691	0.3320532635
129	0.8790523691	0.3317404832
130	0.8802992519	0.3307592289
131	0.8815461347	0.3301740995
132	0.8815461347	0.3298645689
133	0.8815461347	0.3294775783
134	0.8815461347	0.3285287215
135	0.8815461347	0.3280907657
136	0.8802992519	0.3274087234
137	0.8802992519	0.3271801815
138	0.8802992519	0.327086012
139	0.8802992519	0.326508796
140	0.8802992519	0.3265083713
141	0.8802992519	0.3263392891
142	0.8802992519	0.3259413783
143	0.8802992519	0.3255385252
144	0.8815461347	0.3247401166
145	0.8815461347	0.324519956
146	0.8815461347	0.3244870632
147	0.8815461347	0.3242084815
148	0.8815461347	0.3238773007
149	0.8815461347	0.3235764897
150	0.8827930175	0.3232347651
151	0.8827930175	0.3226061079
152	0.8827930175	0.3225788927
153	0.8827930175	0.3218973633
154	0.8815461347	0.3215153306
155	0.8827930175	0.3209043701
156	0.8840399002	0.3206402279
157	0.8827930175	0.3202657016
158	0.8827930175	0.3202175378
159	0.8827930175	0.3196022305
160	0.8827930175	0.3195764841
161	0.8827930175	0.3193246901
162	0.8827930175	0.3188104533
163	0.8827930175	0.3185250067
164	0.8827930175	0.318220489
165	0.8827930175	0.3179852688
166	0.8827930175	0.3178598027
167	0.8827930175	0.3178572349
168	0.8827930175	0.3178330115
169	0.8827930175	0.3175963851
170	0.8827930175	0.317349127
171	0.8827930175	0.3169763072
172	0.8827930175	0.3169211033
173	0.8827930175	0.3166242349
174	0.8827930175	0.3166152581
175	0.8827930175	0.3162475331
176	0.8827930175	0.316241244
177	0.8827930175	0.3161328175
178	0.8865336658	0.3156012987
179	0.8865336658	0.3152713228
180	0.8865336658	0.3152683559
