iter	Passed	Remaining
0	21	21748
1	80	40163
2	138	46071
3	173	43261
4	257	51192
5	332	55086
6	384	54596
7	453	56295
8	559	61568
9	653	64677
10	685	61610
11	738	60836
12	797	60570
13	867	61077
14	916	60167
15	979	60233
16	1038	60059
17	1097	59891
18	1147	59259
19	1214	59486
20	1282	59809
21	1347	59898
22	1415	60127
23	1475	60012
24	1535	59883
25	1574	58999
26	1635	58949
27	1695	58847
28	1755	58762
29	1814	58681
30	1873	58565
31	1933	58494
32	1992	58389
33	2054	58360
34	2114	58301
35	2174	58220
36	2234	58165
37	2294	58078
38	2355	58038
39	2415	57977
40	2475	57910
41	2535	57834
42	2595	57764
43	2655	57691
44	2713	57585
45	2775	57553
46	2906	58933
47	2974	58989
48	3064	59471
49	3124	59364
50	3185	59270
51	3246	59187
52	3309	59128
53	3370	59054
54	3432	58980
55	3492	58872
56	3552	58764
57	3612	58667
58	3672	58576
59	3733	58496
60	3792	58372
61	3803	57539
62	3852	57302
63	3913	57232
64	3972	57137
65	4032	57066
66	4092	56991
67	4152	56909
68	4211	56818
69	4271	56747
70	4331	56676
71	4393	56628
72	4453	56556
73	4513	56476
74	4572	56393
75	4631	56305
76	4690	56220
77	4749	56139
78	4810	56077
79	4869	55997
80	4920	55827
81	4981	55771
82	5040	55689
83	5108	55705
84	5223	56227
85	5245	55753
86	5338	56020
87	5403	56003
88	5468	55972
89	5549	56115
90	5611	56050
91	5673	55995
92	5733	55915
93	5792	55829
94	5851	55742
95	5910	55657
96	5959	55483
97	6021	55423
98	6082	55353
99	6133	55197
100	6193	55125
101	6254	55066
102	6313	54986
103	6380	54969
104	6447	54954
105	6509	54900
106	6569	54830
107	6634	54798
108	6705	54809
109	6764	54734
110	6786	54350
111	6846	54280
112	6898	54150
113	6948	54001
114	6969	53632
115	6980	53196
116	7040	53133
117	7070	52845
118	7130	52791
119	7198	52790
120	7260	52745
121	7321	52691
122	7389	52689
123	7502	53002
124	7581	53068
125	7675	53243
126	7737	53188
127	7798	53129
128	7859	53067
129	7920	53004
130	7980	52939
131	8039	52867
132	8100	52802
133	8160	52740
134	8221	52675
135	8288	52657
136	8349	52597
137	8382	52362
138	8443	52298
139	8503	52237
140	8562	52164
141	8622	52099
142	8683	52038
143	8713	51798
144	8773	51735
145	8833	51667
146	8863	51429
147	8922	51366
148	8984	51314
149	9045	51255
150	9106	51200
151	9166	51137
152	9226	51076
153	9288	51026
154	9351	50981
155	9413	50928
156	9439	50684
157	9519	50730
158	9601	50787
159	9662	50728
160	9725	50680
161	9863	51020
162	9938	51034
163	10029	51128
164	10097	51097
165	10158	51039
166	10179	50775
167	10239	50711
168	10299	50646
169	10330	50436
170	10392	50382
171	10452	50319
172	10512	50255
173	10572	50189
174	10632	50123
175	10695	50072
176	10757	50020
177	10818	49958
178	10878	49893
179	10941	49846
180	10992	49739
181	11024	49550
182	11089	49508
183	11132	49371
184	11154	49138
185	11217	49093
186	11279	49039
187	11341	48984
188	11402	48927
189	11461	48863
190	11523	48808
191	11586	48758
192	11649	48710
193	11709	48649
194	11770	48592
195	11832	48535
196	11893	48481
197	11957	48432
198	12018	48375
199	12122	48489
200	12207	48526
201	12236	48341
202	12317	48359
203	12384	48323
204	12446	48269
205	12507	48208
206	12570	48156
207	12632	48100
208	12694	48042
209	12726	47875
210	12790	47829
211	12849	47762
212	12910	47700
213	12971	47644
214	13038	47605
215	13102	47556
216	13165	47503
217	13228	47452
218	13297	47420
219	13317	47218
220	13379	47162
221	13440	47100
222	13499	47036
223	13560	46978
224	13582	46785
225	13648	46741
226	13717	46712
227	13779	46657
228	13840	46598
229	13901	46540
230	13960	46474
231	14019	46409
232	14078	46343
233	14128	46249
234	14189	46191
235	14249	46129
236	14309	46069
237	14388	46068
238	14507	46193
239	14603	46243
240	14667	46192
241	14726	46128
242	14797	46097
243	14857	46033
244	14918	45972
245	14978	45911
246	15039	45849
247	15100	45790
248	15161	45727
249	15222	45666
250	15284	45610
251	15345	45549
252	15406	45488
253	15466	45424
254	15535	45388
255	15597	45330
256	15658	45268
257	15717	45201
258	15776	45137
259	15797	44963
260	15869	44934
261	15930	44871
262	15990	44810
263	16052	44751
264	16114	44694
265	16135	44524
266	16196	44465
267	16256	44401
268	16317	44340
269	16378	44281
270	16437	44218
271	16498	44158
272	16559	44097
273	16601	43987
274	16661	43926
275	16754	43950
276	16845	43967
277	16934	43981
278	16996	43923
279	17056	43859
280	17118	43801
281	17178	43737
282	17239	43676
283	17302	43620
284	17371	43581
285	17440	43540
286	17501	43478
287	17564	43422
288	17626	43364
289	17687	43303
290	17747	43240
291	17807	43178
292	17868	43116
293	17929	43054
294	17989	42992
295	18051	42933
296	18113	42875
297	18174	42814
298	18235	42753
299	18295	42690
300	18356	42629
301	18420	42575
302	18482	42516
303	18544	42456
304	18605	42395
305	18666	42335
306	18727	42274
307	18787	42211
308	18847	42148
309	18907	42084
310	18968	42022
311	19053	42014
312	19164	42063
313	19257	42072
314	19322	42017
315	19383	41957
316	19445	41897
317	19505	41831
318	19565	41769
319	19624	41702
320	19684	41638
321	19744	41574
322	19806	41512
323	19869	41455
324	19944	41423
325	20004	41359
326	20073	41312
327	20134	41251
328	20195	41189
329	20257	41128
330	20317	41064
331	20391	41028
332	20453	40968
333	20515	40908
334	20581	40856
335	20643	40795
336	20704	40732
337	20763	40667
338	20824	40605
339	20885	40541
340	20947	40482
341	21007	40417
342	21074	40366
343	21135	40305
344	21195	40240
345	21255	40176
346	21325	40132
347	21449	40187
348	21542	40184
349	21604	40121
350	21664	40057
351	21724	39993
352	21784	39928
353	21845	39864
354	21904	39798
355	21964	39733
356	22024	39668
357	22084	39604
358	22145	39541
359	22206	39478
360	22266	39414
361	22326	39348
362	22388	39287
363	22451	39227
364	22518	39175
365	22578	39110
366	22638	39046
367	22706	38995
368	22765	38930
369	22827	38867
370	22887	38803
371	22950	38744
372	23022	38700
373	23084	38638
374	23152	38586
375	23212	38522
376	23275	38463
377	23337	38401
378	23396	38336
379	23457	38272
380	23515	38205
381	23575	38139
382	23684	38155
383	23770	38131
384	23859	38113
385	23921	38051
386	23982	37987
387	24044	37925
388	24108	37866
389	24169	37803
390	24228	37737
391	24288	37672
392	24348	37607
393	24417	37556
394	24477	37490
395	24536	37425
396	24597	37361
397	24660	37299
398	24720	37236
399	24781	37171
400	24842	37108
401	24902	37044
402	24964	36982
403	25032	36928
404	25092	36864
405	25152	36800
406	25220	36746
407	25284	36687
408	25345	36623
409	25406	36560
410	25467	36497
411	25527	36432
412	25587	36368
413	25647	36303
414	25709	36241
415	25771	36179
416	25830	36113
417	25891	36049
418	26015	36074
419	26092	36032
420	26180	36005
421	26241	35942
422	26302	35878
423	26365	35816
424	26431	35760
425	26491	35695
426	26551	35629
427	26611	35565
428	26672	35500
429	26733	35436
430	26793	35372
431	26856	35310
432	26916	35246
433	26975	35180
434	27035	35115
435	27094	35049
436	27155	34984
437	27215	34920
438	27274	34854
439	27341	34798
440	27402	34734
441	27463	34670
442	27530	34615
443	27591	34551
444	27652	34487
445	27712	34423
446	27773	34359
447	27833	34294
448	27894	34231
449	27955	34168
450	28015	34103
451	28074	34037
452	28134	33972
453	28194	33908
454	28329	33932
455	28403	33885
456	28485	33845
457	28543	33778
458	28603	33713
459	28662	33646
460	28721	33580
461	28779	33513
462	28839	33448
463	28899	33383
464	28962	33321
465	29021	33256
466	29081	33190
467	29141	33126
468	29200	33060
469	29260	32995
470	29330	32941
471	29391	32878
472	29459	32822
473	29520	32758
474	29580	32694
475	29640	32628
476	29701	32565
477	29762	32502
478	29822	32437
479	29883	32373
480	29943	32308
481	30004	32245
482	30065	32181
483	30124	32115
484	30184	32051
485	30243	31986
486	30303	31921
487	30364	31857
488	30423	31792
489	30484	31728
490	30582	31703
491	30674	31672
492	30767	31640
493	30831	31580
494	30890	31514
495	30958	31457
496	31019	31393
497	31079	31329
498	31140	31265
499	31200	31200
500	31261	31136
501	31321	31071
502	31383	31008
503	31443	30944
504	31503	30879
505	31562	30813
506	31621	30748
507	31682	30684
508	31745	30622
509	31806	30559
510	31866	30494
511	31925	30428
512	31983	30362
513	32050	30304
514	32110	30239
515	32168	30173
516	32231	30112
517	32291	30047
518	32350	29981
519	32411	29918
520	32469	29852
521	32530	29788
522	32591	29724
523	32652	29661
524	32712	29597
525	32771	29531
526	32869	29501
527	32963	29467
528	33048	29425
529	33109	29361
530	33170	29297
531	33229	29232
532	33290	29167
533	33351	29104
534	33413	29041
535	33474	28977
536	33542	28919
537	33600	28853
538	33660	28789
539	33719	28723
540	33779	28659
541	33840	28595
542	33899	28530
543	33960	28466
544	34019	28401
545	34078	28336
546	34144	28276
547	34204	28212
548	34269	28152
549	34330	28088
550	34393	28026
551	34452	27961
552	34511	27896
553	34570	27831
554	34630	27766
555	34688	27701
556	34748	27636
557	34807	27571
558	34869	27508
559	34933	27447
560	34992	27382
561	35051	27317
562	35120	27260
563	35242	27243
564	35323	27196
565	35390	27136
566	35450	27072
567	35517	27013
568	35597	26964
569	35658	26900
570	35717	26835
571	35778	26771
572	35837	26706
573	35897	26641
574	35958	26578
575	36018	26513
576	36078	26449
577	36138	26384
578	36204	26324
579	36266	26261
580	36329	26199
581	36397	26141
582	36457	26076
583	36517	26012
584	36577	25947
585	36637	25883
586	36697	25819
587	36757	25755
588	36817	25690
589	36878	25627
590	36940	25564
591	37000	25500
592	37061	25436
593	37132	25380
594	37192	25315
595	37251	25250
596	37313	25188
597	37376	25125
598	37480	25091
599	37581	25054
600	37672	25010
601	37737	24949
602	37798	24885
603	37859	24821
604	37919	24757
605	37980	24693
606	38038	24628
607	38099	24564
608	38159	24499
609	38218	24434
610	38290	24378
611	38353	24315
612	38413	24251
613	38485	24194
614	38547	24131
615	38608	24067
616	38667	24002
617	38727	23938
618	38788	23874
619	38848	23810
620	38912	23748
621	38971	23683
622	39031	23619
623	39090	23554
624	39151	23491
625	39211	23426
626	39273	23363
627	39332	23299
628	39394	23236
629	39456	23173
630	39516	23108
631	39583	23048
632	39644	22984
633	39706	22922
634	39801	22877
635	39886	22828
636	39981	22783
637	40042	22719
638	40101	22655
639	40160	22590
640	40231	22532
641	40291	22467
642	40359	22408
643	40419	22343
644	40479	22279
645	40539	22215
646	40598	22150
647	40659	22086
648	40719	22022
649	40778	21957
650	40838	21893
651	40896	21828
652	40958	21765
653	41018	21700
654	41078	21636
655	41146	21576
656	41206	21512
657	41268	21449
658	41328	21385
659	41390	21322
660	41466	21266
661	41526	21202
662	41586	21138
663	41647	21074
664	41708	21010
665	41768	20946
666	41829	20883
667	41888	20819
668	41949	20755
669	42010	20691
670	42106	20645
671	42197	20596
672	42290	20548
673	42353	20485
674	42419	20424
675	42479	20360
676	42539	20295
677	42598	20230
678	42666	20170
679	42726	20106
680	42786	20042
681	42847	19978
682	42918	19919
683	42978	19855
684	43037	19791
685	43098	19727
686	43158	19663
687	43217	19598
688	43277	19534
689	43336	19470
690	43399	19407
691	43459	19343
692	43518	19278
693	43580	19215
694	43639	19151
695	43699	19086
696	43758	19022
697	43818	18958
698	43878	18894
699	43939	18831
700	44001	18768
701	44059	18703
702	44118	18638
703	44176	18574
704	44236	18510
705	44296	18446
706	44396	18399
707	44488	18348
708	44573	18294
709	44635	18231
710	44695	18167
711	44755	18103
712	44814	18038
