iter	Passed	Remaining
0	50	50500
1	112	55980
2	173	57566
3	234	58289
4	293	58452
5	359	59568
6	419	59538
7	480	59643
8	541	59677
9	602	59646
10	662	59525
11	722	59498
12	782	59387
13	843	59383
14	893	58662
15	951	58542
16	973	56300
17	1038	56649
18	1099	56769
19	1160	56862
20	1213	56559
21	1307	58121
22	1377	58501
23	1431	58205
24	1452	56663
25	1512	56670
26	1533	55273
27	1600	55571
28	1719	57577
29	1740	56287
30	1832	57286
31	1895	57324
32	1958	57382
33	1979	56240
34	2009	55400
35	2096	56149
36	2157	56164
37	2218	56165
38	2280	56189
39	2341	56206
40	2401	56168
41	2477	56501
42	2537	56474
43	2577	56012
44	2636	55957
45	2697	55946
46	2748	55722
47	2808	55704
48	2869	55687
49	2929	55667
50	2993	55711
51	3071	56004
52	3137	56060
53	3196	55992
54	3256	55950
55	3317	55919
56	3378	55893
57	3437	55826
58	3497	55784
59	3556	55724
60	3616	55677
61	3677	55638
62	3738	55600
63	3797	55545
64	3864	55586
65	3941	55776
66	4065	56610
67	4149	56867
68	4211	56824
69	4270	56733
70	4328	56639
71	4389	56571
72	4449	56503
73	4509	56433
74	4569	56351
75	4628	56277
76	4695	56283
77	4754	56201
78	4818	56176
79	4879	56119
80	4940	56048
81	5000	55984
82	5030	55578
83	5089	55497
84	5149	55428
85	5208	55355
86	5270	55307
87	5329	55233
88	5370	54974
89	5430	54913
90	5495	54893
91	5555	54828
92	5615	54769
93	5677	54719
94	5738	54662
95	5777	54407
96	5837	54343
97	5898	54289
98	5965	54287
99	6025	54228
100	6086	54173
101	6148	54126
102	6216	54141
103	6365	54844
104	6448	54962
105	6531	55086
106	6594	55039
107	6655	54971
108	6715	54893
109	6754	54652
110	6816	54594
111	6878	54534
112	6938	54463
113	6999	54396
114	7075	54451
115	7140	54415
116	7199	54333
117	7261	54279
118	7323	54219
119	7384	54155
120	7445	54085
121	7504	54010
122	7516	53591
123	7576	53523
124	7626	53387
125	7647	53048
126	7678	52783
127	7743	52750
128	7795	52631
129	7815	52306
130	7875	52241
131	7935	52183
132	7995	52118
133	8055	52059
134	8116	52008
135	8176	51944
136	8236	51881
137	8295	51814
138	8365	51817
139	8425	51759
140	8485	51694
141	8515	51449
142	8592	51491
143	8702	51734
144	8790	51836
145	8854	51792
146	8914	51727
147	8974	51664
148	9035	51605
149	9056	51319
150	9116	51256
151	9176	51194
152	9237	51138
153	9298	51082
154	9360	51032
155	9382	50764
156	9443	50708
157	9503	50647
158	9564	50588
159	9623	50524
160	9683	50464
161	9745	50410
162	9805	50349
163	9846	50191
164	9875	49978
165	9934	49910
166	9993	49847
167	10014	49594
168	10055	49442
169	10121	49416
170	10153	49221
171	10212	49162
172	10273	49109
173	10332	49051
174	10394	49002
175	10472	49029
176	10494	48794
177	10553	48737
178	10615	48687
179	10674	48626
180	10733	48566
181	10794	48515
182	10864	48503
183	10982	48706
184	11053	48696
185	11137	48741
186	11176	48592
187	11236	48530
188	11296	48472
189	11326	48287
190	11388	48237
191	11447	48174
192	11507	48117
193	11549	47982
194	11609	47925
195	11631	47712
196	11692	47659
197	11723	47488
198	11784	47435
199	11847	47389
200	11905	47324
201	11964	47267
202	12024	47211
203	12084	47154
204	12151	47122
205	12211	47066
206	12272	47015
207	12333	46960
208	12364	46795
209	12423	46735
210	12503	46755
211	12565	46704
212	12625	46647
213	12656	46485
214	12716	46430
215	12778	46380
216	12839	46329
217	12900	46275
218	12961	46224
219	13022	46168
220	13082	46114
221	13141	46055
222	13245	46149
223	13337	46204
224	13426	46245
225	13487	46190
226	13549	46140
227	13570	45950
228	13631	45894
229	13692	45841
230	13753	45786
231	13813	45726
232	13873	45669
233	13932	45608
234	13993	45554
235	14054	45497
236	14115	45443
237	14177	45391
238	14237	45333
239	14303	45294
240	14362	45233
241	14421	45171
242	14482	45115
243	14542	45057
244	14601	44997
245	14662	44939
246	14722	44882
247	14785	44833
248	14844	44771
249	14903	44710
250	14962	44649
251	14983	44474
252	15041	44412
253	15101	44351
254	15173	44330
255	15234	44273
256	15293	44214
257	15355	44160
258	15414	44102
259	15481	44063
260	15605	44185
261	15699	44221
262	15762	44171
263	15822	44111
264	15882	44050
265	15940	43987
266	16000	43925
267	16061	43868
268	16120	43806
269	16182	43751
270	16241	43689
271	16303	43634
272	16367	43587
273	16430	43534
274	16490	43476
275	16556	43430
276	16615	43368
277	16673	43304
278	16734	43245
279	16795	43189
280	16866	43155
281	16929	43104
282	16989	43044
283	17049	42984
284	17110	42927
285	17170	42866
286	17230	42807
287	17289	42743
288	17351	42688
289	17412	42630
290	17472	42571
291	17535	42518
292	17596	42458
293	17656	42398
294	17716	42339
295	17786	42303
296	17912	42398
297	18004	42412
298	18075	42376
299	18134	42314
300	18197	42259
301	18260	42205
302	18320	42142
303	18379	42078
304	18438	42016
305	18500	41957
306	18560	41897
307	18622	41839
308	18682	41777
309	18743	41719
310	18806	41665
311	18866	41603
312	18929	41548
313	18989	41487
314	19050	41426
315	19109	41364
316	19169	41301
317	19229	41240
318	19289	41178
319	19349	41117
320	19409	41056
321	19469	40995
322	19529	40932
323	19589	40871
324	19649	40810
325	19710	40751
326	19772	40694
327	19832	40632
328	19891	40569
329	19950	40505
330	20011	40445
331	20072	40386
332	20205	40472
333	20279	40436
334	20370	40437
335	20431	40376
336	20492	40315
337	20553	40255
338	20614	40194
339	20672	40128
340	20731	40064
341	20801	40021
342	20862	39960
343	20923	39899
344	20987	39846
345	21049	39786
346	21111	39728
347	21170	39664
348	21231	39603
349	21290	39539
350	21351	39478
351	21410	39414
352	21469	39351
353	21529	39288
354	21589	39225
355	21650	39165
356	21711	39104
357	21771	39041
358	21832	38982
359	21892	38919
360	21951	38856
361	22011	38794
362	22072	38733
363	22132	38670
364	22191	38607
365	22252	38546
366	22312	38484
367	22372	38423
368	22501	38478
369	22564	38420
370	22658	38415
371	22718	38352
372	22780	38293
373	22840	38230
374	22900	38167
375	22961	38105
376	23024	38047
377	23086	37988
378	23161	37950
379	23223	37891
380	23286	37832
381	23348	37773
382	23408	37710
383	23468	37647
384	23526	37581
385	23584	37515
386	23645	37453
387	23707	37394
388	23770	37336
389	23832	37276
390	23891	37211
391	23957	37159
392	24018	37097
393	24078	37033
394	24138	36971
395	24199	36910
396	24258	36846
397	24317	36782
398	24380	36723
399	24440	36660
400	24499	36596
401	24558	36531
402	24617	36468
403	24684	36415
404	24805	36442
405	24880	36401
406	24966	36375
407	25029	36317
408	25089	36254
409	25148	36189
410	25207	36125
411	25268	36062
412	25328	35999
413	25389	35937
414	25450	35875
415	25510	35813
416	25571	35751
417	25631	35688
418	25717	35661
419	25780	35601
420	25841	35539
421	25903	35478
422	25964	35417
423	26026	35356
424	26086	35293
425	26146	35230
426	26207	35168
427	26269	35107
428	26328	35043
429	26388	34979
430	26448	34916
431	26507	34852
432	26566	34788
433	26627	34725
434	26691	34668
435	26752	34607
436	26816	34548
437	26876	34485
438	26937	34424
439	27000	34363
440	27127	34386
441	27191	34328
442	27279	34299
443	27342	34239
444	27401	34175
445	27461	34111
446	27520	34046
447	27580	33983
448	27639	33918
449	27701	33857
450	27761	33794
451	27825	33735
452	27886	33672
453	27946	33609
454	28006	33546
455	28066	33483
456	28126	33419
457	28186	33356
458	28247	33293
459	28308	33232
460	28368	33168
461	28435	33113
462	28496	33051
463	28557	32988
464	28618	32926
465	28686	32872
466	28753	32817
467	28816	32756
468	28876	32694
469	28937	32631
470	28995	32566
471	29056	32503
472	29115	32439
473	29176	32376
474	29236	32313
475	29295	32250
476	29444	32283
477	29510	32226
478	29602	32198
479	29665	32137
480	29724	32073
481	29786	32011
482	29849	31950
483	29917	31895
484	29978	31832
485	30041	31772
486	30104	31711
487	30164	31647
488	30226	31586
489	30289	31525
490	30348	31460
491	30407	31395
492	30464	31330
493	30526	31267
494	30586	31204
495	30647	31141
496	30713	31084
497	30777	31024
498	30837	30961
499	30897	30897
500	30974	30850
501	31035	30788
502	31095	30724
503	31155	30660
504	31214	30596
505	31276	30534
506	31340	30474
507	31400	30411
508	31462	30349
509	31523	30287
510	31583	30223
511	31645	30161
512	31779	30168
513	31873	30137
514	31935	30074
515	31996	30012
516	32057	29949
517	32132	29899
518	32194	29836
519	32260	29779
520	32320	29714
521	32385	29655
522	32448	29594
523	32510	29532
524	32570	29468
525	32631	29405
526	32692	29342
527	32761	29287
528	32823	29224
529	32883	29160
530	32945	29098
531	33005	29034
532	33065	28971
533	33127	28909
534	33187	28845
535	33247	28781
536	33307	28717
537	33378	28663
538	33441	28602
539	33503	28539
540	33564	28476
541	33625	28414
542	33685	28350
543	33744	28286
544	33807	28224
545	33868	28161
546	33937	28105
547	34065	28098
548	34139	28045
549	34210	27990
550	34269	27925
551	34328	27860
552	34387	27795
553	34454	27738
554	34515	27674
555	34577	27612
556	34638	27549
557	34707	27492
558	34770	27430
559	34832	27368
560	34892	27304
561	34953	27241
562	35013	27177
563	35074	27114
564	35134	27050
565	35194	26986
566	35254	26922
567	35316	26860
568	35377	26797
569	35437	26733
570	35505	26675
571	35572	26617
572	35640	26559
573	35702	26496
574	35765	26435
575	35828	26373
